amount,time_delta,device_score,customer_age,transaction_freq,risk_country_id,card_score,is_fraud
1750.9635493966716,125.98044704855916,0.7644160492193246,53,30,1,0.792335427918145,0
4936.091850843547,97.76362437357119,0.24154285834403944,68,24,1,0.7708236464730086,0
3187.4793199816204,99.53254175367464,0.34785857397648323,72,18,4,0.5550259633066956,1
2886.85874472941,180.05285971500223,0.9509770951101167,18,30,2,0.4821690046103019,0
163.74704008671847,208.11823301233807,0.10050847835931354,31,26,1,0.8416079531690385,0
3030.1140889414546,213.67324918114116,0.11142864247269091,37,19,4,0.7061973454282087,0
1851.3118046776829,59.850206780868035,0.47718120715872925,44,25,1,0.5397059743885759,0
5518.51135921128,186.23367344395612,0.72881088957213,38,13,3,0.8746232069178205,1
2910.6437644785065,218.0470172840826,0.10905868998275925,32,22,0,0.33173828125974836,1
4098.23550275299,55.81538640418503,0.061734809799628976,43,7,4,0.8280157003001318,0
261.14572785688154,287.6044592761344,0.8520793344994806,24,19,3,0.5993489075380515,0
2858.77773088163,235.41315109860503,0.13985708653347617,50,33,4,0.0639726321103592,0
448.7237181677235,235.2673062642217,0.6737252757272393,61,22,3,0.373242254747851,0
4392.312212935469,219.0058822725305,0.862788651992624,29,22,3,0.16007307954830852,0
2648.912192650817,250.3461483141938,0.1949049657356905,69,3,2,0.08240212702208527,0
1835.9700067971517,210.65225079447163,0.484651806486215,70,13,2,0.5449764766244639,1
4174.96575016098,238.22728994522578,0.037961140847847186,26,38,2,0.034620081177834106,0
3733.8332532591,153.78744886807277,0.9789979756884688,56,16,4,0.9888079359717404,0
5037.7344174570335,229.4927758974075,0.7723777690434205,32,28,0,0.3143837671648897,1
2361.3752281268894,69.67057603195728,0.844419100687436,57,26,2,0.2722666585305036,0
3091.0670553792893,93.74064328307301,0.16198658046042103,55,10,1,0.2787906216962731,1
4531.325180405964,218.2986815170088,0.023076732390792887,54,15,4,0.9614996659712745,1
917.3875383756538,194.6894826534201,0.32928319103151027,27,3,1,0.9301888549355226,0
4718.49665835553,118.82877050908213,0.3246205819325365,77,31,0,0.5010074898721257,0
2124.801797089791,114.20425032827282,0.36066810689957385,69,10,0,0.5904479954501185,0
422.05164849289014,202.7587992115878,0.7722696540386821,76,27,1,0.7972747629336451,0
2549.1885401352374,97.40266256623252,0.4701305814537484,18,25,2,0.8726156314455443,0
3527.9661116252955,217.15060894325399,0.43443160188912344,40,34,4,0.7491114498836046,0
157.5970839994453,164.57504215416878,0.20079148978481365,54,2,4,0.5311999637785856,0
4694.706804514153,260.0937204631569,0.15435192744738524,54,27,2,0.3686786850515875,0
1408.102334843187,72.69611441187547,0.02268569331473924,47,4,3,0.7957175210453132,0
4084.982389508724,47.582406892658234,0.869454192175171,25,17,4,0.05848892853916332,0
4866.556982851933,17.72620190318396,0.5082882119137644,24,15,0,0.8414722717161682,1
3702.1366721299128,11.810190221228634,0.2785703239941686,27,3,2,0.3599336271599526,1
5893.464073982864,69.31636795637017,0.36251392521019066,22,2,1,0.026710162975695728,0
4585.5470094001585,1.8963156154231608,0.9097233596823167,67,2,0,0.1633340810011692,0
